mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Temperature_480,grad.Temperature_480,sd.Temperature_480,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Humidity_480,grad.Humidity_480,sd.Humidity_480,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Winvel_480,grad.Winvel_480,sd.Winvel_480,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.Solar_480,grad.Solar_480
26.85,0.008210526,0.207364414,26.85,0.008210526,0.207364414,42.66666667,-0.033684211,1.032795559,42.66666667,-0.033684211,1.032795559,1.483333333,0.003157895,0.376386326,1.483333333,0.003157895,0.376386326,921.5,-0.814736842,12.56582667,921.5,-0.814736842
27.06666667,-0.01,0.057735027,27.06666667,-0.01,0.057735027,43.33333333,0.1,0.577350269,43.33333333,0.1,0.577350269,1.8,-3.85e-17,0.0,1.8,-3.85e-17,0.0,885.3333333,-1.2,6.027713773,885.3333333,-1.2
26.66363636,-0.002626132,0.143336857,26.71538462,-0.005287745,0.186396324,43.36363636,-0.022121604,1.206045378,43.38461538,-0.015572106,1.120897077,1.236363636,-0.003350582,0.261811869,1.323076923,-0.008063643,0.319253938,795.7272727,-1.990944373,37.4622234,805.8461538,-1.935409614
26.67142857,0.008571429,0.138013112,26.67142857,0.008571429,0.138013112,43.71428571,-0.085714286,1.253566341,43.71428571,-0.085714286,1.253566341,0.885714286,-0.006428571,0.260950643,0.885714286,-0.006428571,0.260950643,686.7142857,-2.592857143,28.02210012,686.7142857,-2.592857143
26.85,0.003030303,0.212132034,26.85,0.003030303,0.212132034,44.5,0.061818182,1.269295518,44.5,0.061818182,1.269295518,0.5,0.007272727,0.210818511,0.5,0.007272727,0.210818511,564.8,-3.107878788,47.08101764,564.8,-3.107878788
26.33,-0.009575758,0.182878223,26.33,-0.009575758,0.182878223,48.0,0.031515152,0.666666667,48.0,0.031515152,0.666666667,0.45,0.001818182,0.158113883,0.45,0.001818182,0.158113883,357.1,-3.152727273,88.20865415,357.1,-3.152727273
25.01818182,-0.028906031,0.676488258,25.24736842,-0.015536466,0.604950339,51.18181818,0.062692847,3.458848994,51.10526316,0.022688226,2.70585244,0.390909091,-0.00598878,0.459248398,0.310526316,0.000956712,0.379904574,31.18181818,-0.657784011,15.57445461,57.63157895,-1.410560889
23.45,-0.02,0.070710678,23.45,-0.02,0.070710678,56.0,2.01e-15,0.0,56.0,2.01e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,-0.6,2.121320344,1.5,-0.6
22.9,-0.06,0.424264069,22.9,-0.06,0.424264069,59.0,0.2,1.414213562,59.0,0.2,1.414213562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.08181818,0.027251052,0.606330243,22.1375,0.008973531,0.967454258,54.90909091,-0.08513324,2.256304299,58.0625,-0.034546304,3.349891669,1.0,0.001851332,0.507937004,0.434375,0.007806415,0.543352422,0.0,0.0,0.0,0.0,0.0
